beta_0,beta_1,sigma,gamma,LogLikelihood
2.2803322775231405,1.863850318818954e-05,0.09349657191597958,0.1428437229796424,-363.65289532688746
2.2814621020569286,-0.00032383294750719046,0.11189776013743238,0.3568063792411073,-362.6079046017536
2.2793968508051,-0.0005860103052953214,0.0946801068261276,0.15689407164623456,-363.29262060107925
2.279844688719435,-0.0005670905773242484,0.09257646587392078,0.1373168706743149,-363.5908379606878
2.2838085554764174,-0.0006661953685467473,0.11169564095914306,0.3679455494597498,-363.2854842038224
2.280869132418241,-0.0001560530643956419,0.10219569496393523,0.2440354774725439,-362.34386029539814
2.269432408965338,-8.137778826194297e-05,0.09190243092412921,0.07309202975124017,-362.91914558738506
2.2687886321026953,3.930467898639527e-05,0.09119511504620588,0.08769932732643373,-363.2147927720543
2.278624811361271,-1.5085589166905172e-05,0.10183487498075819,0.24534786758906385,-362.5300093720245
2.279744766161126,-0.0004355775835534156,0.09737312712363877,0.20915143806378278,-362.7254611688187
2.2655206135673738,5.57238592163505e-05,0.08821762454842036,0.03311378264208245,-363.97760462087393
2.2605757521400522,-0.0005086868373600479,0.09749081059003653,0.007194121486958882,-364.2516296792165
2.277967080787718,-0.00025642031803623996,0.09766680982475305,0.20516225442734998,-362.4927988507241
2.2735358688805434,-0.00028737239659792425,0.1019967939864819,0.17910651839726288,-361.87448711736283
2.271617923307316,-0.00021624569315249862,0.09819664663324588,0.10369906455994801,-361.89861152862267
2.275162951868111,-0.00018706737936971779,0.10431735909719,0.2409645760177725,-361.94251030493126
2.2728131658525577,5.179562513701029e-05,0.09695853077838383,0.15616785015917647,-362.43849131199073
2.2545079537090382,0.0005710800408805853,0.11274109515603803,-0.09306030372503697,-362.1261650056675
2.258914276536707,0.00046635577094558597,0.10074814860034075,-0.045939329909495105,-362.01617230520674
2.285249566995786,-0.000576155532587531,0.10891212625031893,0.2892583577114702,-362.47667595470705
2.273813490132615,0.00014333161802197692,0.1376947555624404,0.47258717691413266,-365.492493499373
2.246177200617706,0.0004817516197032087,0.09582472326650161,0.059848362110313566,-362.67680096826103
2.2861118480029026,-0.0010981326451053163,0.12237190171262445,0.14729609454010792,-364.6394282072279
2.242179755845468,-4.4383971486426296e-05,0.09498508756227872,0.10692128670814262,-365.077953685409
2.2644343886570346,-0.0007678067169908,0.10282533151063528,0.1392454777610977,-365.04592405961637
2.2665805142605167,0.00016665037152501926,0.1050286801363468,0.1495777115184755,-361.5740162394739
2.2603102079654827,0.0004604078666048837,0.10574345434143688,0.18319359184169207,-362.0500142949356
2.2689073315711026,0.0003535085331937126,0.11482452145902358,0.2659960868396315,-362.5201705278542
2.2597955910572862,0.00017598199648629075,0.10500802026817506,0.19224279964342908,-361.6967489905819
