mu,sigma,gamma,LogLikelihood
2.2710411233339736,0.1045371251358035,-0.09526405561620142,-361.2598227527078
2.2546382627594723,0.10717724652688601,-0.287834194470511,-362.40262014718087
2.274146904575438,0.11311945593289144,-0.24310101941729015,-361.8187864369025
2.260969513486581,0.08064968317724346,0.10717789255938427,-368.07840891469806
2.269313180723988,0.11115907659631917,-0.06335427856405626,-361.33618663079426
2.278086643235027,0.10850239056810325,-0.10961927126210333,-361.5308409696726
2.268183964090582,0.11312332927802729,-0.06412404547262007,-361.45752859018785
2.276593423527779,0.11016363528822701,-0.10785372239411309,-361.50824614238735
2.2721212404738553,0.09042615201004889,0.13627608567443344,-363.7654556236044
2.264135224876511,0.11264146917828306,-0.07562559242076099,-361.4760980111766
2.2651293462072917,0.09645603285148859,0.1187941087569773,-362.15884860576125
2.2621124879787975,0.09987789904242986,0.12561742035893994,-361.82880956403346
2.271537820714447,0.10791420902440031,-0.06141005225340026,-361.238463199763
2.2713866319142286,0.10414668244404592,-0.07739074276579637,-361.25723466203925
2.2630031657418734,0.12443638330640296,-0.6034975880452891,-364.08475874172194
2.2726815056255836,0.10597324868551468,-0.06801441718731284,-361.24879416598037
2.2722344035681448,0.10619813243162408,-0.06388527749545365,-361.23597671200235
2.2718614872659937,0.1051317476372286,-0.07393316098927663,-361.2424409451
2.260122745303824,0.11020638661042532,-0.1599420527325954,-361.5772295397194
2.264215774918543,0.10687800521352533,-0.22034375557502003,-361.5462314519105
2.262400852588885,0.11035619711372838,-0.15430913179617567,-361.48100629662866
2.2699535267488264,0.10148022748320303,-0.006770230958426722,-361.34604795937446
2.2638928380267047,0.10684262140201012,-0.2260938618342269,-361.5756883687181
2.259891651490865,0.1083292476142312,-0.029833900026023537,-361.4458537046738
2.2543046796766717,0.11528529543409538,0.13198306962064119,-362.3979309867325
2.254942299697306,0.11596251495506811,0.13172342540819543,-362.40545530614
2.262722535618003,0.10786784460143538,-0.02613413117973572,-361.31388681748666
2.268324000470049,0.1090619762518034,0.22725179981936497,-361.7251228670178
2.2589910104275064,0.10374677624101557,-0.1741514936076598,-361.77456700147474
2.2551620384612745,0.10295346889032819,-0.16498288641099473,-362.1156170960634
2.2668051608906326,0.10502692791563012,-0.17046655496025395,-361.3860544128184
2.260508862031286,0.10444322152441211,-0.17330991830272227,-361.63900439650763
2.263612888122556,0.1058218019352834,-0.17928080753104025,-361.4661182214164
2.274328153355285,0.11095094842500997,-0.21105133118380115,-361.6296883966749
2.272446297886893,0.09507034452420525,-0.14530955740435314,-362.3183640411714
2.2670745930525387,0.08912920171494149,-0.10936627655307322,-363.78364373841555
2.255335309525829,0.11522007885674863,-0.19760575573088898,-362.1271170085652
