mu,sigma,gamma,LogLikelihood
1.4366429469938253,0.6984733518991342,0.3795839625488085,-520.7178956265386
1.2607316148894867,0.6619212493289405,0.16333072037468827,-518.4846894729629
1.2717982837473905,0.6629848875798376,0.1564728011368106,-518.3910507002234
1.2703080807858977,0.6617320030388696,0.1547838905841458,-518.4215364481878
1.3689628351894947,0.6816465046589926,0.2754431437945991,-518.8513267768382
1.2859580213115909,0.6879558017647441,0.18825402929860205,-518.0697274453391
1.2863799793363941,0.6890889160125773,0.1878127197136637,-518.0634645737757
1.3085697622672086,0.5934851725487261,0.13604555745366279,-521.2421129383049
1.4104277017174842,0.7482992048444178,0.3947716940881834,-519.5397026550675
1.2997443670495064,0.7318342017962737,0.23316248425863262,-518.2363465725159
1.2933727707865872,0.7316486669382329,0.22854017099592608,-518.2474563082548
1.2749782200191637,0.6680583475311014,0.15974900568782227,-518.2951338784832
1.2960211610249335,0.7106941840140574,0.21869738316063,-518.0586233245779
1.2961978591387444,0.7204054220045145,0.22574465197530147,-518.12299506003
1.2657864096063562,0.6570495519742166,0.1528734611744999,-518.5393862155944
1.2966594522778851,0.7200657327941903,0.23062772760283906,-518.1207959790219
1.2686512924801272,0.6580874407058068,0.15168477522458967,-518.5000166535178
1.2752476114142555,0.6621773555445244,0.21295260246872622,-518.4086546715333
1.1391503254082298,0.6695009096285748,0.32759509327913644,-521.1915333871053
1.2648232945978717,0.6911596170938262,0.0507028953952427,-518.2793169733217
1.1618087585746921,0.6392688378082368,0.4724022850476699,-521.6569515879793
1.2841229602444835,0.6560787217688717,0.2234296844255832,-518.5180893772666
1.2463265549585634,0.6860768652275269,0.5000703479819177,-519.2083936285553
1.3052572915450396,0.6716470295020368,0.3332845530397843,-518.5024188312119
1.2854868156236996,0.6621833760356212,0.2859416827807704,-518.5075644197397
1.3432914356147798,0.6635071264826814,0.22139328019890409,-518.6839814763975
1.3509341466996723,0.6523214997648589,0.0778229408220122,-518.9580191348286
1.282671986749112,0.6519951889761276,0.20866080121197847,-518.5979246800413
1.279811913632039,0.6522744395528685,0.21872729534910668,-518.6094682047906
1.3443200685994139,0.6506003024716891,0.2193997462707654,-519.0343502520976
1.2632075377261305,0.6670045346964356,0.4345967016950508,-519.064316531528
1.2815869250275271,0.653105799743902,0.21602126258820523,-518.5819002760029
1.3740656096070056,0.7010352718291232,0.11903547498844311,-518.6332541679692
1.2586630978005535,0.7246902098683744,0.29599049137897215,-518.4319914073469
1.2239035543178545,0.6717562425077612,0.4893006247163974,-519.6263384544402
1.2354552600237767,0.7316585250886828,0.411885657894365,-519.002432084511
1.2144748933097522,0.7279619507961816,0.2875292111892291,-519.1012460357887
1.3036321234270212,0.7222219958934565,0.7034127167226689,-520.5101013908504
1.2644783851753667,0.6565436068841954,0.1832250194204028,-518.559409141318
1.2751388451979189,0.680823099727684,0.4727392249852113,-518.9772638470807
1.2651878792854439,0.6725619546785744,0.2769024955460167,-518.3872128844233
1.2892309949646352,0.6945025415891297,0.2987969220086238,-518.1434649030543
1.2359617160026681,0.6880509387854802,0.09575679053800512,-518.5445827720638
1.254930960389874,0.698159243086628,0.24166174951266034,-518.2723639706103
1.422783922791568,0.7199889670688014,0.3646737754240982,-519.8396571986777
1.3012913055569326,0.7277139704209477,0.4006323768336529,-518.3944225538359
1.3311672958450744,0.6658634223479366,-0.013724718662606081,-518.6279396870424
1.3302928572825758,0.6709760590272141,0.0018905453015196066,-518.5066385597139
1.2645601410791658,0.7927881678494848,0.816398199237593,-521.3628267136747
1.3272254699260464,0.6684722172477605,-0.008273217085910138,-518.5465269952485
1.335552864680586,0.667159676325686,-0.022854715007893604,-518.6648701737768
1.251154507548311,0.6856406618904123,0.10622051732335813,-518.35346505723
1.2853325589854485,0.6787182685719566,0.2505196331558451,-518.1863439832333
1.3604684898891597,0.7167781916091187,-0.31602112264773446,-519.9539143217985
1.2351800395278942,0.6610646884067594,0.12201373056732222,-518.8187221639448
1.3636599492622317,0.7186506608625907,-0.34391479553954873,-520.1761423439184
1.2947790815113567,0.6824290431982284,-0.015036987541568262,-518.3306891259205
1.2614163190893555,0.6035605697645753,0.18472419307024016,-520.6214638569713
1.2840796263289127,0.6928307863335204,0.204927800869583,-518.062773132765
1.2626120094598596,0.745561273036445,0.4333655679811116,-518.88846702514
1.247583220387376,0.7312808349364973,0.4940305158781095,-519.0712540436349
1.2945890752119142,0.6223434352455316,-0.011694837175944987,-519.8079226161267
1.27751544236219,0.7335180312373432,0.5281331176518144,-518.9457551744377
1.4087481978888035,0.73499284482953,0.22409579064968174,-519.2993153766638
1.2869917969778117,0.7341519249845718,0.5049657979864951,-518.8041714099026
1.2869844859995443,0.7358881788515118,0.517782599338274,-518.8665165524138
1.2809521570273226,0.7329421779123636,0.5176076066459961,-518.8779874802108
1.3063309498713136,0.7444774120357303,0.4967822394992012,-518.7975882265114
1.3561122633332396,0.6986678121839274,0.1675835049236921,-518.365879307636
1.3802350507435388,0.6866487458197672,0.011673538479824688,-518.9511959691316
1.3051568003365535,0.7671987504482265,0.28747932759486805,-518.856383821561
1.3575224272144102,0.6964045701974586,0.16445423199955245,-518.392015854194
