beta_0,beta_1,sigma,gamma,LogLikelihood
1.9979466273686712,-0.01088316602329483,0.6641399132373995,0.2633322745681439,-508.6221639613679
1.839114028550497,-0.007696918858004524,0.6003251879282765,0.12431331737944877,-505.47730830003917
1.8878478485274894,-0.01011228220742573,0.6289522339579512,0.11945974282568037,-508.0048044097833
1.941000752574624,-0.009371358494060157,0.6365210866518288,0.21843466277507384,-506.29940053947564
1.9457202508897427,-0.007557372056175504,0.6434348303833795,0.2326477270396756,-505.68782487349586
1.9549798468061712,-0.007584209896811464,0.663282812470312,0.06079572057024957,-505.76238053885487
2.0635720440371927,-0.007986116725318525,0.6914549295537691,0.22953746776157768,-507.29176873717427
1.8916839814569901,-0.006513692069656139,0.6160933631545069,0.2763378775973696,-506.5709928013494
1.7188888433715823,-0.005813431852135114,0.5927929378256673,-0.09632932996961352,-506.7095130450531
1.8129937598854706,-0.005235695055490847,0.6078776622470914,0.03465393925250335,-507.70515344438246
1.8156060231029068,-0.006819275822474995,0.6362233587704477,-0.08110953999139146,-505.4787780201979
1.9521138985949436,-0.008383528884861149,0.6639152781863427,0.15145877689840953,-505.69280065991256
1.7962985357329497,-0.007948619347599068,0.6110449038003822,-0.02937660363283841,-506.0556167364446
1.7939877011877932,-0.007312413450137301,0.6124255809048511,-0.03504499387325956,-505.5749658944785
1.9004449049757988,-0.00662602554640719,0.6119001850567921,0.23408568411075834,-506.3720096338345
1.9041784912846602,-0.007748722684977375,0.6438705289244917,0.10910961188167306,-505.2553800270985
1.8665882987559976,-0.00754333072630288,0.6392615527149804,0.024329713549790397,-505.19814128207
1.8735046536799191,-0.0086734559429001,0.6398463456200959,0.04402789735759248,-505.81149068234106
1.8836497819393099,-0.007418740770285025,0.6462803187615478,0.040435525459134355,-505.28289098993577
1.9078115508804707,-0.008460963796411272,0.5905423190497993,0.3001109207541951,-506.3310665596802
1.9169345965895621,-0.009006720558756834,0.6138291640038432,0.15014071308644106,-505.8083589959207
1.9148758586453016,-0.008411042777989753,0.609076791794738,0.19360145209890173,-505.4743113109445
1.9177697682100714,-0.008399579730133397,0.6658289904377221,-0.0912141849375261,-505.602075478706
1.8835855797823104,-0.007694690788138386,0.6933289422124076,-0.12259180402359231,-506.3620121090053
1.9175798018835284,-0.007966313091420391,0.6136892936656428,0.08528500021622187,-505.03976509055747
1.8636746262138302,-0.006901371933988943,0.6126156360489224,0.2486283331593215,-505.76604428131515
1.8819986802240045,-0.006787281618611746,0.6103764481761691,0.181152257159292,-505.77618627360766
1.8223992476265485,-0.006699680914713106,0.6095410275473553,0.3797487690517652,-506.53709691459323
1.8041298365670038,-0.00828427681392915,0.6412707657745789,0.34564826645833496,-507.2507640465623
1.9336587512080154,-0.008648406960054094,0.5817126971732581,-0.10715958540874373,-505.5520836723245
1.8773343889516165,-0.008154509641094161,0.5999330502718943,0.0571083517707994,-505.3130245829455
1.879290629483243,-0.006525418993521844,0.6040339312018733,0.0982615340217027,-505.9834297811819
1.890670470659942,-0.0072779401402573276,0.5998170833201556,0.07382083717051549,-505.2744162979524
1.8688630918020488,-0.007208444408569245,0.6097492114691867,0.148061878308736,-505.3117191391794
1.9023346736298439,-0.007808797842063272,0.6314730535560256,-0.004267992369372803,-505.0295295880426
1.9085802784004995,-0.006449168487936476,0.6286681411802666,-0.023102307985389578,-506.31635058595737
1.9115898334465675,-0.006807469216985274,0.620717202157215,-0.026375169186839246,-505.74305629377506
1.8631136581624683,-0.006339797190417291,0.5976582678290944,0.1966801007274971,-506.481941626167
